PartitionKey,RowKey,Value,Value@type,Description,Description@type,SampleValue,businessDays,businessDays@type,endTime,endTime@type,region,region@type,startTime,startTime@type,LastModifiedBy,LastModifiedBy@type,targetDay,targetDay@type,targetHour,targetHour@type,targetMinute,targetMinute@type,targetTimezone,targetTimezone@type,Validation
Scoping,ExportSettings:CMDBExportFormat,,String,Defines the file format used when exporting CMDB data. Enter the supported export format configured for the workflow.,String,csv,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a supported export format; expected value is csv.
Scoping,ExportSettings:GenerateExcelReport,,String,Defines whether the workflow generates a formatted Excel report for CMDB data. Enter true to enable Excel report generation or false to disable it.,String,true,,,,,,,,,loganathan.s,String,,,,,,,,,Must be true or false.
Scoping,FirstWorkingDayParameters:BusinessHoursStart,,String,Defines the start time used when calculating the first working day for the scoping workflow. Enter the time using HH:MM:SS format.,String,09:00:00,,,,,,,,,loganathan.s,String,,,,,,,,,Must use HH:mm:ss format (24-hour time).
Scoping,FirstWorkingDayParameters:Region,,String,Defines the region whose holiday calendar is used when calculating the first working day. Enter the configured region name.,String,Global,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a configured region name.
Scoping,Notifications:CompletionRecipients,,String,Defines the email recipients who receive a notification when the Scoping workflow completes. Enter one or more email addresses separated by semicolons (;).,String,loganathan.sekar@diageo.com;vinil.m@cyberpwn.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain one or more valid email addresses separated by semicolons (;).
Scoping,Notifications:Recipients,,String,Defines the email recipients for Scoping workflow notifications. Enter one or more email addresses separated by semicolons (;).,String,loganathan.sekar@diageo.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain one or more valid email addresses separated by semicolons (;).
Scoping,Notifications:SeverityTaggingRecipients,,String,Defines the email recipients who receive Severity Tagging notifications. Enter one or more email addresses separated by semicolons (;).,String,loganathan.sekar@diageo.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain one or more valid email addresses separated by semicolons (;).
Scoping,Qualys:TagMappings,,String,"Defines the mapping between Qualys criticality values and Qualys tag IDs used by the scoping workflow. Provide the mapping as the expected JSON object, with the criticality value as the key and the Qualys tag ID as the value.",String,"{""5"": ""64618570"", ""4"": ""64618571"", ""3"": ""64618572"", ""2"": ""64618573""}",,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid JSON object mapping Qualys criticality values to tag IDs.
Scoping,QueueSettings:ScopingScheduleQueue,,String,Defines the Azure Storage Queue name used to schedule the main Scoping workflow. Enter the queue name configured for the environment.,String,scopingschedulequeue,,,,,,,,,loganathan.s,String,,,,,,,,,"Must be a valid Azure Storage Queue name (lowercase letters, numbers and hyphens; 3-63 characters)."
Scoping,QueueSettings:StorageAccountName,,String,Defines the Azure Storage Account name used by the workflow queues. Enter the storage account name configured for the environment.,String,securityworkflowstor,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid Azure Storage Account name (3-24 lowercase letters and numbers).
Scoping,QueueSettings:TagManagementQueue,,String,Defines the Azure Storage Queue name used to trigger tag management operations. Enter the queue name configured for the environment.,String,tagmanagementqueue,,,,,,,,,loganathan.s,String,,,,,,,,,"Must be a valid Azure Storage Queue name (lowercase letters, numbers and hyphens; 3-63 characters)."
Scoping,RetentionPolicy:DaysToKeep,,Int32,Defines the number of days that CMDB export files are retained before they can be removed according to the retention policy. Enter a whole number of days.,String,365,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
Scoping,ServiceNow:CmdbSource,,String,Defines the ServiceNow instance or source name used to retrieve CMDB data. Enter the configured ServiceNow source identifier.,String,ServiceNow,,,,,,,,,,,,,,,,,,,Must be a configured ServiceNow source identifier.
Scoping,SharePoint:DocumentLibrary,,String,Defines the SharePoint document library where CMDB exports are stored. Enter the document library name configured for the environment.,String,CMDB Data,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a non-empty SharePoint document library name.
Scoping,SharePoint:FileNameFormat,,String,Defines the naming format used for CMDB export files. Use the supported date and cycle-name placeholders required by the workflow.,String,CycleName-yyyy-MMM-dd,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain the supported CycleName/date placeholders required by the workflow.
Scoping,SharePoint:FolderFormat,,String,Defines the naming format used for monthly SharePoint subfolders. Use the supported date-format placeholders required by the workflow.,String,yyyy-MM,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain a valid date-format pattern for the monthly folder.
Scoping,SharePoint:ScopingFolderPath,,String,Defines the SharePoint folder path where Scoping CMDB exports are stored. Enter the path relative to the configured document library.,String,Scoping/CMDBExports,,,,,,,,,,,,,,,,,,,Must be a valid relative SharePoint folder path.
Scoping,SharePoint:SiteUrl,,String,Defines the SharePoint site URL used to store CMDB exports. Enter the full HTTPS URL of the configured SharePoint site.,String,https://contoso.sharepoint.com/sites/SecurityManagementPortal,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid HTTPS SharePoint site URL.
Scoping,SkipBusinessDayCheck,,Boolean,Defines whether the Scoping workflow skips the business-day validation. Enter true to skip the business-day check or false to apply it.,,true,,,,,,,,,,,,,,,,,,,Must be a Boolean value: true or false.
Scoping,Timeframes:ExclusionApprovalHours,,Int32,Defines the number of hours allowed for exclusion approval before the configured escalation or timeout action occurs. Enter a whole number of hours.,String,48,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
Scoping,Timeframes:InitialAssessmentDays,,Int32,Defines the number of business days allowed for the initial assessment phase. Enter a whole number of business days.,String,3,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than or equal to 0.
ScopingPhase-DataRetrieval,EscalationLevels,,String,Defines the escalation levels used for Scoping Phase Data Retrieval follow-ups. Enter the required levels as a list in the order expected by the workflow.,,"[3,6,9] ",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
ScopingPhase-DataRetrieval,ReminderInterval,,String,Defines the reminder intervals used for Scoping Phase Data Retrieval follow-ups. Enter the required intervals as a list in the order expected by the workflow.,,"[2,1,1]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
StatusTracking,AuditTableName,,String,Defines the Azure Table Storage table name used to store audit log records. Enter the table name configured for the environment.,String,AuditLog,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid Azure Table Storage table name.
StatusTracking,TableName,,String,Defines the Azure Table Storage table name used to store workflow status tracking records. Enter the table name configured for the environment.,String,WorkflowStatusTracking,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid Azure Table Storage table name.
VulnRescan,QualysScan,,String,"Defines the polling intervals, in seconds, that the vulnerability rescan workflow uses when checking the status of a Qualys scan. Enter the intervals as a list in the order they should be used.",,"[300,180,120,60]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers representing polling intervals in seconds.
VulnScan,AlertSuppressionTeamDL,,String,Defines the email distribution list or recipients who receive Vulnerability Scanning alert-suppression change approval notifications. Enter one or more email addresses separated by semicolons (;).,String,loganathan.sekar@diageo.com;vinil.m@cyberpwn.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain one or more valid email addresses separated by semicolons (;).
VulnScan,ChangeApproverDL,,String,Defines the security team recipients who approve Vulnerability Scanning changes. Enter one or more email addresses separated by semicolons (;).,String,loganathan.sekar@diageo.com;vinil.m@cyberpwn.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain one or more valid email addresses separated by semicolons (;).
VulnScan,MaxAssetsPerBatch,,String,Defines the maximum number of assets processed in a single Vulnerability Scanning batch. Enter a whole number representing the batch size.,String,200,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a whole number greater than 0.
VulnScan,SecurityTeamDL,,String,Defines the security team recipients who receive Vulnerability Scanning change approval notifications. Enter one or more email addresses separated by semicolons (;).,String,loganathan.sekar@diageo.com;vinil.m@cyberpwn.com,,,,,,,,,loganathan.s,String,,,,,,,,,Must contain one or more valid email addresses separated by semicolons (;).
VulnScan-CHGApproval,EscalationLevels,,String,Defines the escalation levels used for Vulnerability Scanning change approval follow-ups. Enter the required levels as a list in the order expected by the workflow.,,"[3,6,9] ",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
VulnScan-CHGApproval,ReminderInterval,,String,Defines the reminder intervals used for Vulnerability Scanning change approval follow-ups. Enter the required intervals as a list in the order expected by the workflow.,,"[2,1,1]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
VulnScan-ChangeRequestApproval,EscalationLevels,,String,Defines the escalation levels used for Vulnerability Scanning change request approval follow-ups. Enter the required levels as a list in the order expected by the workflow.,,"[3,6,9] ",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
VulnScan-ChangeRequestApproval,ReminderInterval,,String,Defines the reminder intervals used for Vulnerability Scanning change request approval follow-ups. Enter the required intervals as a list in the order expected by the workflow.,,"[2,1,1]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers.
VulnerabilityScanning,QualysScan,,String,"Defines the polling intervals, in seconds, that the Vulnerability Scanning workflow uses when checking the status of a Qualys scan. Enter the intervals as a list in the order they should be used.",,"[300,60,120,180]",,,,,,,,,,,,,,,,,,,Must be a JSON-style list of positive whole numbers representing polling intervals in seconds.
Scoping,CMDBReportPath,,String,Defines the SharePoint path where the CMDB report is stored.,String,/Shared Documents/report/cmdb_ci_server.xlsx,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid SharePoint document path.
Scoping,CMDBSiteUrl,,String,Defines the SharePoint site URL used for CMDB report storage.,String,demo - https://cyberpwn.sharepoint.com/sites/demo,,,,,,,,,loganathan.s,String,,,,,,,,,Must be a valid SharePoint site URL.
